english,french,german,dutch,spanish,walloon,korean,chinese
Order,Commande,Befehl,Volgorde,Pedido,Ôr,주문하다 / Jumunhada,命令 / Mìnglìng
Side,Côté,Seite,Kant,Lado,Pårti,옆 / Yeop,边 / Biān
Home,Domicile,Heimat,Thuis,Casa,Famile,집 / Jib,家 / Jiā
Development,Développement,Entwicklung,Ontwikkeling,Desarrollo,,개발 / Gaebal,发展 / Fāzhǎn
Week,Semaine,Woche,Week,Semana,Saminne,주 / Ju,星期 / Xīngqí
Power,Puissance,Energie,Stroom,Energía,Pwissance,힘 / Him,力量 / Lìliàng
Country,Pays,Land,Land,País,Payis,국가 / Gugga,国家 / Guójiā
Council,Conseil,Rat,Raad,Concejo,Consèy,이사회 / Isahoe,理事会 / Lǐshì huì
Use,Utiliser,Benutzen,Gebruik,Usar,Si sièrvu di,사용 / Sayong,采用 / Cǎiyòng
Service,Service,Service,Onderhoud,Servicio,Chèrvice,서비스 / Seobiseu,服务 / Fúwù
Room,Salle,Zimmer,Kamer,Habitación,Plaece,방 / Bang,房间 / Fángjiān
Market,Marché,Markt,Markt,Mercado,Fôre,시장 / Sijang,市场 / Shìchǎng
Problem,Problème,Problem,Probleem,Problema,Problème,문제 / Munje,问题 / Wèntí
Court,Tribunal,Gericht,Rechtbank,Corte,Tribunål,법원 / Beob-won,法庭 / Fǎtíng
Lot,Terrain,Viel,Kavel,Lote,Tèrin,많은 / Manh-eun,很多 / Hěnduō
A,Un,Ein,Een,UN,In,ㅏ / A,一种 / Yī zhǒng
War,Guerre,Krieg,Oorlog,Guerra,Guêre,전쟁 / Jeonjaeng,战争 / Zhànzhēng
Police,Police,Polizei,Politie,Policía,Jandarmèrèye,경찰 / Gyeongchal,警察 / Jǐngchá
Interest,Intérêt,Interesse,Interesse,Interés,Intèrèt,관심 / Gwansim,兴趣 / Xìngqù
Car,Auto,Wagen,Auto,Coche,Tchår,차 / Cha,车 / Chē
Law,Droit,Gesetz,Wet,Ley,Dreût,법 / Beob,法律 / Fǎlǜ
Road,Route,Straße,Weg,La carretera,Vôye,도로 / Dolo,路 / Lù
Form,Formulaire,Form,Formulier,Forma,,형태 / Hyeongtae,形式 / Xíngshì
Face,Visage,Gesicht,Gezicht,Rostro,Afronter,얼굴 / Eolgul,脸 / Liǎn
Education,Éducation,Bildung,Opleiding,Educación,Éducåtion,교육 / Gyoyug,教育 / Jiàoyù
Policy,Politique,Politik,Het beleid,Política,Politike,정책 / Jeongchaeg,政策 / Zhèngcè
Research,Rechercher,Forschung,Onderzoek,Investigar,Ricwèrèdje,연구 / Yeongu,研究 / Yánjiū
Sort,Trier,Sortieren,Soort,Clasificar,Triyî,종류 / Jonglyu,种类 / Zhǒnglèi
Office,Bureau,Sekretariat,Kantoor,Oficina,Burô,사무실 / Samusil,办公室 / Bàngōngshì
Body,Corps,Karosserie,Lichaam,Cuerpo,Cwér,신체 / Sinche,身体 / Shēntǐ
Person,Personne,Person,Persoon,Persona,Pèrsone,사람 / Salam,人 / Rén
Health,Santé,Gesundheit,Gezondheid,Salud,Santé,건강 / Geongang,健康 / Jiànkāng
Mother,Mère,Mutter,Moeder,Madre,Mére,어머니 / Eomeoni,母亲 / Mǔqīn
Question,Question,Frage,Vraag,Pregunta,Kèstion,문제 / Munje,问题 / Wèntí
Period,Période,Zeitraum,Punt uit,Período,Trèvint,기간 / Gigan,时期 / Shíqí
Name,Nom,Name,Naam,Nombre,Nom,이름 / Ileum,姓名 / Xìngmíng
Book,Livre,Buchen,Boek,Libro,Lîve,도서 / Doseo,书 / Shū
Level,Niveau,Stufe,Peil,Nivel,Lèvê,수준 / Sujun,等级 / Děngjí
Child,Enfant,Kind,Kind,Niño,Tètåde,어린이 / Eolin-i,孩子 / Háizi
Control,Contrôler,Steuerung,Controle,Control,Controler,제어 / Jeeo,控制 / Kòngzhì
Society,Société,Gesellschaft,Samenleving,Sociedad,Sôcièté,사회 / Sahoe,社会 / Shèhuì
Minister,Ministre,Minister,Minister,Ministro,Minisse,장관 / Jang-gwan,部长 / Bùzhǎng
View,Vue,Aussicht,Weergave,Vista,Vuwe,보다 / Boda,看法 / Kànfǎ
Door,Porte,Tür,Deur-,Puerta,Ouf,문 / Mun,门 / Mén
Line,Ligne,Linie,Lijn,Línea,Rôye,라인 / Lain,线 / Xiàn
Community,Communauté,Gemeinschaft,Gemeenschap,Comunidad,Comeune,지역 사회 / Jiyeog sahoe,社区 / Shèqū
South,Sud,Süden,Zuiden,Sur,Sûd,남쪽 / Namjjog,南 / Nán
City,Ville,Stadt,Stad,Ciudad,Vèye,도시 / Dosi,城市 / Chéngshì
God,Dieu,Gott,God,Dios,Bon diu,하느님 / Haneunim,上帝 / Shàngdì
Father,Père,Vater,Vader,Padre,Pére,아버지 / Abeoji,父亲 / Fùqīn
Centre,Centre,Center,Centrum,Centro,Mitan,센터 / Senteo,中心 / Zhōngxīn
Effect,Effet,Wirkung,Effect,Efecto,Èfèt,효과 / Hyogwa,影响 / Yǐngxiǎng
Staff,Personnel,Mitarbeiter,Personeel,Personal,Pèrsonél,직원 / Jig-won,职员 / Zhíyuán
Position,Position,Position,Positie,Posición,Pôchon,위치 / Wichi,位置 / Wèizhì
Kind,Type,Nett,Vriendelijk,Clase,Sôr,친절한 / Chinjeolhan,种类 / Zhǒnglèi
Job,Travail,Arbeit,Functie,Trabajo,Ovrèdje,직업 / Jig-eob,工作 / Gōngzuò
Woman,Femme,Frau,Vrouw,Mujer,Feume,여성 / Yeoseong,女士 / Nǚshì
Action,Action,Handlung,Actie,Acción,Ac',행동 / Haengdong,行动 / Xíngdòng
Management,Management,Management,Beheer,administración,Administråchon,관리 / Gwanli,管理 / Guǎnlǐ
Act,Agir,Handlung,Handelen,Actuar,Adji,행동 / Haengdong,行为 / Xíngwéi
Process,Processus,Prozess,Verwerken,Proceso,Trêtî,프로세스 / Peuloseseu,过程 / Guòchéng
North,Nord,Norden,Noorden,Norte,Nôrd,북쪽 / Bugjjog,北 / Běi
Age,Âge,Alter,Leeftijd,Edad,Viyî,나이 / Nai,年龄 / Niánlíng
Evidence,Preuve,Beweis,Bewijs,Evidencia,Sène,증거 / Jeung-geo,证据 / Zhèngjù
Idea,Idée,Idee,Idee,Ocurrencia,Îdèye,아이디어 / Aidieo,主意 / Zhǔyì
West,Ouest,Westen,West,Oeste,Ouwèss,서쪽 / Seojjog,西方 / Xīfāng
Support,Support,Unterstützung,Steun,Apoyo,Aspoyî,지원하다 / Jiwonhada,支持 / Zhīchí
Moment,Moment,Moment,Moment,Momento,Moumint,순간 / Sungan,片刻 / Piànkè
Sense,Sens,Sinn,Gevoel,Sentido,Sins',감각 / Gamgag,感觉 / Gǎnjué
Report,Rapport,Prüfbericht,Verslag,Reporte,Rapwèrt,보고서 / Bogoseo,报告 / Bàogào
Mind,Écouter,Geist,Verstand,Mente,Spér,정신 / Jeongsin,头脑 / Tóunǎo
Church,Église,Kirche,Kerk,Iglesia,Èglîhe,교회에 / Gyohoee,教会 / Jiàohuì
Morning,Matin,Morgen,Ochtend,Mañana,Matin,아침 / Achim,早晨 / Zǎochén
Death,Mort,Tod,Dood,Muerte,Dièrin,죽음 / Jug-eum,死亡 / Sǐwáng
Change,Monnaie,Veränderung,Wijzigen,Cambio,Candjî,변화 / Byeonhwa,改变 / Gǎibiàn
Industry,Industrie,Industrie,Industrie,Industria,Industrèye,산업 / San-eob,行业 / Hángyè
Land,Terre,Land,Land-,Tierra,Abwèrder,땅 / Ttang,土地 / Tǔdì
Care,Se soucier,Pflege,Zorg,Cuidado,,케어 / Keeo,关心 / Guānxīn
Century,Siècle,Jahrhundert,Eeuw,Siglo,Siéke,세기 / Segi,世纪 / Shìjì
Range,Portée,Angebot,Bereik,Distancia,,범위 / Beom-wi,范围 / Fànwéi
Table,Table,Tisch,Tafel,Mesa,Tåvlê,테이블 / Teibeul,桌子 / Zhuōzi
Back,Arrière,Zurück,Rug,Atrás,Rèscouler,뒤 / Dwi,后退 / Hòutuì
Trade,Commerce,Handeln,Handel,Comercio,Comèrce,거래 / Geolae,贸易 / Màoyì
History,Histoire,Geschichte,Geschiedenis,Historia,Fåve,역사 / Yeogsa,历史 / Lìshǐ
Study,Étude,Lernen,Studie,Estudio,Ètude,공부하다 / Gongbuhada,学习 / Xuéxí
Street,Rue,Straße,Straat,Calle,Rowe,거리 / Geoli,街道 / Jiēdào
Committee,Comité,Komitee,Commissie,Comité,,위원회 / Wiwonhoe,委员会 / Wěiyuánhuì
Rate,Taux,Bewertung,Tarief,Velocidad,,비율 / Biyul,速度 / Sùdù
Word,Mot,Wort,Woord,Palabra,Mot,단어 / Dan-eo,单词 / Dāncí
Food,Aliments,Lebensmittel,Voedsel,Alimento,Amagnî,음식 / Eumsig,食物 / Shíwù
Language,Langue,Sprache,Taal,Idioma,Langue,언어 / Eon-eo,语言 / Yǔyán
Experience,Vivre,Erfahrung,Beleven,Experiencia,Èspèriyince,경험 / Gyeongheom,经验 / Jīngyàn
Result,Résultat,Ergebnis,Resultaat,Resultado,,결과 / Gyeolgwa,结果 / Jiéguǒ
Team,Équipe,Team,Team,Equipo,,팀 / Tim,团队 / Tuánduì
Other,Autre,Sonstiges,Ander,Otro,Ôte,다른 / Daleun,其他 / Qítā
Sir,Monsieur,Herr,Meneer,Señor,Moncheû,선생님 / Seonsaengnim,先生 / Xiānshēng
Section,Section,Sektion,Sectie,Sección,,부분 / Bubun,部分 / Bùfèn
Programme,Programme,Programm,Programma,Programa,,프로그램 / Peulogeulaem,程序 / Chéngxù
Air,Air,Luft,Lucht,Aire,Êr,공기 / Gong-gi,空气 / Kōngqì
Authority,Autorité,Behörde,Gezag,Autoridad,,권한 / Gwonhan,权威 / Quánwēi
Role,Rôle,Rolle,Rol,Role,Role,역할 / Yeoghal,角色 / Juésè
Reason,Raison,Grund,Reden,Razón,Cåse,이유 / Iyu,原因 / Yuányīn
Price,Prix,Preis,Prijs,Precio,Pris,가격 / Gagyeog,价格 / Jiàgé
Town,Ville,"Stadt, dorf",Dorp,Pueblo,Vèye,도시 / Dosi,镇 / Zhèn
Class,Classe,Klasse,Klas,Clase,,수업 / Sueob,班级 / Bānjí
Nature,Nature,Natur,Natuur,Naturaleza,Nateûre,자연 / Jayeon,自然 / Zìrán
Subject,Matière,Gegenstand,Onderwerp,Asunto,,주제 / Juje,学科 / Xuékē
Department,Département,Abteilung,Afdeling,Departamento,,학과 / Haggwa,部门 / Bùmén
Union,Syndicat,Union,Unie,Unión,,노동 조합 / Nodong johab,联盟 / Liánméng
Bank,Banque,Bank,Bank,Banco,Banke,은행 / Eunhaeng,银行 / Yínháng
Member,Membre,Mitglied,Lid,Miembro,,회원 / Hoewon,成员 / Chéngyuán
Value,Valeur,Wert,Waarde,Valor,Valeûr,값 / Gabs,价值 / Jiàzhí
Need,Avoir besoin,Brauchen,Behoefte,Necesidad,,필요 / Pil-yo,需要 / Xūyào
East,Est,Ost,Oosten-,Este,Èst,동쪽 / Dongjjog,东方 / Dōngfāng
Practice,Entrainement,Trainieren,Oefening,Práctica,,관행 / Gwanhaeng,实践 / Shíjiàn
Type,Type,Typ,Type,Tipo,,유형 / Yuhyeong,类型 / Lèixíng
Paper,Papier,Papier,Papier,Papel,Papî,종이 / Jong-i,纸 / Zhǐ
Date,Date,Datum,Datum,Fecha,,데이트 / Deiteu,日期 / Rìqí
Decision,Décision,Entscheidung,Beslissing,Decisión,,결정 / Gyeoljeong,决定 / Juédìng
Figure,Chiffre,Zahl,Figuur,Figura,Cogne,수치 / Suchi,数字 / Shùzì
Right,À droite,Rechts,Rechtsaf,Derecha,Dreût,오른쪽 / Oleunjjog,对 / Duì
Wife,Épouse,Ehefrau,Vrouw,Esposa,Feume,부인 / Bu-in,妻子 / Qīzi
President,Président,Präsident,President,Presidente,,대통령 / Daetonglyeong,总统 / Zǒngtǒng
University,Université,Universität,Universiteit,Universidad,Ûnivêrsité,대학교 / Daehaggyo,大学 / Dàxué
Friend,Ami,Freund,Vriend,Amigo,Ami,친구 / Chingu,朋友 / Péngyǒu
Club,Club,Verein,Club,Club,,클럽 / Keulleob,俱乐部 / Jùlèbù
Quality,Qualité,Qualität,Kwaliteit,Calidad,Cålité,품질 / Pumjil,质量 / Zhìliàng
Voice,Voix,Stimme,Stem,Voz,Vwès,목소리 / Mogsoli,嗓音 / Sǎngyīn
Lord,Seigneur,Herr,Heer,Señor,Sègneûr,주님 / Junim,主 / Zhǔ
Stage,Organiser,Bühne,Fase,Escenario,,단계 / Dangye,阶段 / Jiēduàn
King,Roi,König,Koning,Rey,Rwè,왕 / Wang,国王 / Guówáng
Us,Nous,Uns,Ons,A nosotros,Nos-ôtes,우리를 / Ulileul,我们 / Wǒmen
Situation,Situation,Lage,Situatie,Situación,Situwåcion,상황 / Sanghwang,情况 / Qíngkuàng
Light,Léger,Hell,Licht,Luz,Lèdjîr,빛 / Bich,光 / Guāng
Tax,Impôt,Mwst,Belasting,Impuesto,,세 / Se,税 / Shuì
Production,Production,Produktion,Productie,Producción,,생산 / Saengsan,生产 / Shēngchǎn
March,Mars,März,Maart,Marzo,Cotî,3월 / 3wol,行进 / Xíngjìn
Secretary,Secrétaire,Sekretär,Secretaris,Secretario,Sécrètêre,비서 / Biseo,秘书 / Mìshū
Art,Art,Kunst,Kunst,Arte,Årt,미술 / Misul,艺术 / Yìshù
Board,Planche,Planke,Bord,Junta,Plantche,판자 / Panja,木板 / Mùbǎn
May,Mai,Kann,Kunnen,Puede,Pouvwér,5월 / 5wol,可能 / Kěnéng
Hospital,Hôpital,Krankenhaus,Ziekenhuis,Hospital,Ospitå,병원 / Byeong-won,医院 / Yīyuàn
Month,Mois,Monat,Maand,Mes,Meûs,월 / Wol,月 / Yuè
Music,Musique,Musik,Muziek,Música,Muzike,음악 / Eum-ag,音乐 / Yīnyuè
Cost,Coût,Kosten,Kosten,Costo,Costèdje,비용 / Biyong,成本 / Chéngběn
Field,Domaine,Feld,Veld,Campo,Dôminne,들 / Deul,场地 / Chǎngdì
Award,Décerner,Vergeben,Prijs,Premio,Ad'djudjî,상 / Sang,奖 / Jiǎng
Issue,Publier,Ausgabe,Kwestie,Tema,Publiyî,문제 / Munje,问题 / Wèntí
Bed,Lit,Bett,Bed,Cama,Lét,침대 / Chimdae,床 / Chuáng
Project,Projet,Projekt,Projecteren,Proyecto,Projèt,프로젝트 / Peulojegteu,项目 / Xiàngmù
Chapter,Chapitre,Kapitel,Hoofdstuk,Capítulo,Chapite,장 / Jang,章节 / Zhāngjié
Girl,Fille,Mädchen,Meisje,Muchacha,Båcèle,소녀 / Sonyeo,女孩 / Nǚhái
Game,Jeu,Spiel,Spel,Juego,Djeû,게임 / Geim,游戏 / Yóuxì
Amount,Montant,Menge,Hoeveelheid,Monto,Montant,양 / Yang,数量 / Shùliàng
Basis,Base,Basis,Basis,Base,,기초 / Gicho,基础 / Jīchǔ
Knowledge,Connaissance,Wissen,Kennis,Conocimiento,Kinohance,지식 / Jisig,知识 / Zhīshì
Approach,Approcher,Sich nähern,Nadering,Enfoque,Aprocher,접근하다 / Jeobgeunhada,方法 / Fāngfǎ
Series,Séries,Serie,Serie,Serie,,시리즈 / Silijeu,系列 / Xìliè
Love,Amour,Liebe,Liefde,Amar,Amoûr,사랑 / Salang,爱 / Ài
Top,Haut,Oben,Bovenkant,Cima,,맨 위 / Maen wi,最佳 / Zuì jiā
News,Nouvelles,Nachrichten,Nieuws,Noticias,Novèle,소식 / Sosig,消息 / Xiāoxī
Front,Face,Vorderseite,Voorkant,Parte delantera,D'vant,앞쪽 / Apjjog,正面 / Zhèngmiàn
Future,Futur,Zukunft,Toekomst,Futuro,Tins,미래 / Milae,未来 / Wèilái
Manager,Gestionnaire,Manager,Manager,Gerente,Administrateûr,관리자 / Gwanlija,经理 / Jīnglǐ
Account,Compte,Konto,Rekening,Cuenta,Compte,계정 / Gyejeong,帐户 / Zhànghù
Computer,Ordinateur,Computer,Computer,Ordenador,,컴퓨터 / Keompyuteo,电脑 / Diànnǎo
Security,Sécurité,Sicherheit,Beveiliging,Seguridad,,보안 / Boan,安全 / Ānquán
Rest,Repos,Sich ausruhen,Rest,Descanso,Ripwès,나머지 / Nameoji,休息 / Xiūxí
Labour,Travail,Arbeit,Werk,Mano de obra,,노동 / Nodong,劳动 / Láodòng
Structure,Structure,Struktur,Structuur,Estructura,,구조 / Gujo,结构 / Jiégòu
Hair,Cheveu,Haar,Haar,Pelo,Dj'vè,머리카락 / Meolikalag,头发 / Tóufǎ
Bill,Facture,Rechnung,Rekening,Factura,Factûre,청구서 / Cheong-guseo,账单 / Zhàngdān
Heart,Cœur,Herz,Hart,Corazón,Coûr,마음 / Ma-eum,心 / Xīn
Force,Obliger,Gewalt,Kracht,Fuerza,Fwèce,힘 / Him,力量 / Lìliàng
Attention,Attention,Beachtung,Aandacht,Atención,Astème,주목 / Jumog,注意力 / Zhùyì lì
Movement,Mouvement,Bewegung,Beweging,Movimienot,Mouvemint,움직임 / Umjig-im,移动 / Yídòng
Success,Succès,Erfolg,Succes,Éxito,,성공 / Seong-gong,成功 / Chénggōng
Letter,Lettre,Buchstabe,Brief,Carta,Lète,편지 / Pyeonji,信 / Xìn
Agreement,Accord,Zustimmung,Akkoord,Convenio,Acwérd,합의 / Hab-ui,协议 / Xiéyì
Capital,Capitale,Hauptstadt,Kapitaal,Capital,,수도 / Sudo,首都 / Shǒudū
Analysis,Analyse,Analyse,Analyse,Análisis,,분석 / Bunseog,分析 / Fēnxī
Population,Population,Population,Bevolking,Población,Pôpulåtion,인구 / Ingu,人口 / Rénkǒu
Environment,Environnement,Umgebung,Omgeving,Medioambiente,,환경 / Hwangyeong,环境 / Huánjìng
Performance,Performance,Leistung,Uitvoering,Actuación,,성능 / Seongneung,表现 / Biǎoxiàn
Model,Maquette,Modell,Model-,Modelo,,모델 / Model,模型 / Móxíng
Material,Matériel,Material,Materiaal,Material,,재료 / Jaelyo,材料 / Cáiliào
Theory,Théorie,Theorie,Theorie,Teoría,,이론 / Ilon,理论 / Lǐlùn
Growth,Croissance,Wachstum,Groei,Crecimiento,,성장 / Seongjang,生长 / Shēngzhǎng
Fire,Feu,Feuer,Vuur,Fuego,,불 / Bul,火 / Huǒ
Chance,Chance,Chance,Kans,Oportunidad,,가능성 / Ganeungseong,机会 / Jīhuì
Boy,Garçon,Junge,Jongen,Chico,Valèt,소년 / Sonyeon,男生 / Nánshēng
Relationship,Relation amoureuse,Verhältnis,Relatie,Relación,,관계 / Gwangye,关系 / Guānxì
Son,Fils,Sohn,Zoon,Hijo,Fi,아들 / Adeul,儿子 / Érzi
Sea,Mer,Meer,Zee,Mar,,바다 / Bada,海 / Hǎi
Record,Record,Aufzeichnung,Vermelding,Registro,Plake,기록 / Gilog,记录 / Jìlù
Size,Taille,Größe,Maat,Tamaño,Grandeûr,크기 / Keugi,尺寸 / Chǐcùn
Property,Biens,Eigentum,Eigendom,Propiedad,,특성 / Teugseong,财产 / Cáichǎn
Space,Espace,Platz,Ruimte,Espacio,,우주 / Uju,空间 / Kōngjiān
Term,Terme,Begriff,Termijn,Término,,기간 / Gigan,学期 / Xuéqí
Director,Réalisateur,Direktor,Regisseur,Director,,감독 / Gamdog,导向器 / Dǎoxiàng qì
Plan,Plan,Planen,Plan,Plan,Intanchon,계획 / Gyehoeg,计划 / Jìhuà
Behaviour,Comportement,Verhalten,Gedrag,Comportamiento,,행동 / Haengdong,行为 / Xíngwéi
Treatment,Traitement,Behandlung,Behandeling,Tratamiento,,치료 / Chilyo,治疗 / Zhìliáo
Energy,Énergie,Energie,Energie,Energía,Èhowe,에너지 / Eneoji,活力 / Huólì
Income,Revenu,Einkommen,Inkomen,Ingreso,,소득 / Sodeug,收入 / Shōurù
Cup,Coupe,Tasse,Beker,Taza,Côpe,컵 / Keob,杯子 / Bēizi
Scheme,Schème,Planen,Schema,Esquema,,계획 / Gyehoeg,方案 / Fāng'àn
Design,Motif,Design,Ontwerp,Diseño,Dèssin,설계 / Seolgye,设计 / Shèjì
Response,Réponse,Antwort,Antwoord,Respuesta,,응답 / Eungdab,回复 / Huífù
Association,Association,Verband,Vereniging,Asociación,,협회 / Hyeobhoe,协会 / Xiéhuì
Choice,Choix,Auswahl,Keuze,Elección,,선택 / Seontaeg,选择 / Xuǎnzé
Pressure,Pression,Druck,Druk,Presión,,압력 / Ablyeog,压力 / Yālì
Hall,Entrée,Halle,Hal,Sala,,홀 / Hol,大厅 / Dàtīng
Couple,Couple,Paar,Stel,Pareja,Ome,커플 / Keopeul,一对 / Yī duì
Technology,Technologie,Technologie,Technologie,Tecnología,,기술 / Gisul,技术 / Jìshù
Defence,Défense,Verteidigung,Verdediging,Defensa,,방어 / Bang-eo,防御 / Fángyù
List,Liste,Aufführen,Lijst,Lista,,목록 / Moglog,列表 / Lièbiǎo
Chairman,Président,Vorsitzende,Voorzitter,Presidente,,의장 / Uijang,主席 / Zhǔxí
Loss,Perte,Verlust,Verlies,Pérdida,,상실 / Sangsil,损失 / Sǔnshī
Activity,Activité,Aktivität,Werkzaamheid,Actividad,Abèyisté,활동 / Hwaldong,活动 / Huódòng
Contract,Contrat,Vertrag,Contract,Contrato,,계약 / Gyeyag,合同 / Hétóng
County,Comté,Bezirk,District,Condado,,군 / Gun,县 / Xiàn
Wall,Mur,Wand,Muur,Pared,Pareûse,벽 / Byeog,墙 / Qiáng
Difference,Différence,Unterschied,Verschil,Diferencia,Difèrince,차이점 / Chaijeom,不同之处 / Bùtóng zhī chù
Army,Armée,Armee,Leger,Ejército,,군대 / Gundae,军队 / Jūnduì
Hotel,Hôtel,Hotel,Hotel,Hotel,Ôtél,호텔 / Hotel,酒店 / Jiǔdiàn
Sun,Soleil,Sonne,Zon,Sol,Solo,태양 / Taeyang,太阳 / Tàiyáng
Product,Produit,Produkt,Product,Producto,,제품 / Jepum,产品 / Chǎnpǐn
Summer,Été,Sommer,Zomer,Verano,Osté,여름 / Yeoleum,夏天 / Xiàtiān
Set,Positionner,Einstellen,Set,Colocar,,세트 / Seteu,放 / Fàng
Village,Village,Dorf,Dorp,Aldea,Viyèdje,마을 / Ma-eul,村庄 / Cūnzhuāng
Colour,Couleur,Farbe,Kleur,Color,,색깔 / Saegkkal,颜色 / Yánsè
Floor,Étage,Boden,Vloer,Piso,,바닥 / Badag,地面 / Dìmiàn
Season,Saison,Jahreszeit,Seizoen,Estación,Acomôder,계절 / Gyejeol,季节 / Jìjié
Unit,Unité,Einheit,Eenheid,Unidad,,단위 / Dan-wi,单元 / Dānyuán
Park,Parc,Park,Park,Parque,,공원 / Gong-won,公园 / Gōngyuán
Hour,Heure,Stunde,Uur,Hora,Eûre,시간 / Sigan,小时 / Xiǎoshí
Investment,Investissement,Anlage,Investering,Inversión,,투자 / Tuja,投资 / Tóu zī
Test,Test,Prüfung,Test,Prueba,,시험 / Siheom,测试 / Cèshì
Garden,Jardin,Garten,Tuin,Jardín,Cotehê,정원 / Jeong-won,花园 / Huāyuán
Husband,Mari,Ehemann,Echtgenoot,Esposo,Ome,남편 / Nampyeon,丈夫 / Zhàngfū
Employment,Emploi,Anstellung,Werkgelegenheid,Empleo,Plèce,고용 / Goyong,就业 / Jiùyè
Style,Style,Stil,Stijl,Estilo,,스타일 / Seutail,风格 / Fēnggé
Science,Science,Wissenschaft,Wetenschap,Ciencia,Syince,과학 / Gwahag,科学 / Kēxué
Look,Regarder,Suchen,Look,Mirar,Êrèdje,바라보다 / Balaboda,看 / Kàn
Deal,Accord,Handeln,Overeenkomst,Negociar,Pièle,거래 / Geolae,交易 / Jiāoyì
Charge,Charger,Aufladen,Aanval,Cargo,,요금 / Yogeum,收费 / Shōufèi
Help,Aider,Hilfe,Helpen,Ayudar,,돕다 / Dobda,帮助 / Bāngzhù
Economy,Économie,Wirtschaft,Economie,Economía,,경제 / Gyeongje,经济 / Jīngjì
New,Nouveau,Neu,Nieuwe,Nuevo,Novê,새로운 / Saeloun,新的 / Xīn de
Page,Page,Seite,Bladzijde,Página,Pådje,페이지 / Peiji,页 / Yè
Risk,Risque,Risiko,Risico,Riesgo,Wèzeûr,위험 / Wiheom,风险 / Fēngxiǎn
Advice,Conseils,Rat,Het advies,Consejo,Consèy,조언 / Jo-eon,建议 / Jiànyì
Event,Événement,Veranstaltung,Evenement,Evento,,이벤트 / Ibenteu,事件 / Shìjiàn
Picture,Image,Bild,Afbeelding,Imagen,Îmådje,그림 / Geulim,图片 / Túpiàn
